location,age_group,forecast_date,target_end_date,target,type,quantile,value,pathogen
DE,00+,2022-04-21,2022-03-24,-28 day ahead inc hosp,mean,NA,11171,COVID-19
DE,00+,2022-04-21,2022-03-24,-28 day ahead inc hosp,quantile,0.025,11171,COVID-19
DE,00+,2022-04-21,2022-03-24,-28 day ahead inc hosp,quantile,0.1,11171,COVID-19
DE,00+,2022-04-21,2022-03-24,-28 day ahead inc hosp,quantile,0.25,11171,COVID-19
DE,00+,2022-04-21,2022-03-24,-28 day ahead inc hosp,quantile,0.5,11171,COVID-19
DE,00+,2022-04-21,2022-03-24,-28 day ahead inc hosp,quantile,0.75,11171,COVID-19
DE,00+,2022-04-21,2022-03-24,-28 day ahead inc hosp,quantile,0.9,11171,COVID-19
DE,00+,2022-04-21,2022-03-24,-28 day ahead inc hosp,quantile,0.975,11171,COVID-19
DE,00+,2022-04-21,2022-03-25,-27 day ahead inc hosp,mean,NA,11032,COVID-19
DE,00+,2022-04-21,2022-03-25,-27 day ahead inc hosp,quantile,0.025,11032,COVID-19
DE,00+,2022-04-21,2022-03-25,-27 day ahead inc hosp,quantile,0.1,11032,COVID-19
DE,00+,2022-04-21,2022-03-25,-27 day ahead inc hosp,quantile,0.25,11032,COVID-19
DE,00+,2022-04-21,2022-03-25,-27 day ahead inc hosp,quantile,0.5,11032,COVID-19
DE,00+,2022-04-21,2022-03-25,-27 day ahead inc hosp,quantile,0.75,11032,COVID-19
DE,00+,2022-04-21,2022-03-25,-27 day ahead inc hosp,quantile,0.9,11032,COVID-19
DE,00+,2022-04-21,2022-03-25,-27 day ahead inc hosp,quantile,0.975,11032,COVID-19
DE,00+,2022-04-21,2022-03-26,-26 day ahead inc hosp,mean,NA,10952,COVID-19
DE,00+,2022-04-21,2022-03-26,-26 day ahead inc hosp,quantile,0.025,10952,COVID-19
DE,00+,2022-04-21,2022-03-26,-26 day ahead inc hosp,quantile,0.1,10952,COVID-19
DE,00+,2022-04-21,2022-03-26,-26 day ahead inc hosp,quantile,0.25,10952,COVID-19
DE,00+,2022-04-21,2022-03-26,-26 day ahead inc hosp,quantile,0.5,10952,COVID-19
DE,00+,2022-04-21,2022-03-26,-26 day ahead inc hosp,quantile,0.75,10952,COVID-19
