location,age_group,forecast_date,target_end_date,target,type,quantile,value,pathogen
DE,00+,2022-04-23,2022-03-26,-28 day ahead inc hosp,mean,NA,11045,COVID-19
DE,00+,2022-04-23,2022-03-26,-28 day ahead inc hosp,quantile,0.025,11045,COVID-19
DE,00+,2022-04-23,2022-03-26,-28 day ahead inc hosp,quantile,0.1,11045,COVID-19
DE,00+,2022-04-23,2022-03-26,-28 day ahead inc hosp,quantile,0.25,11045,COVID-19
DE,00+,2022-04-23,2022-03-26,-28 day ahead inc hosp,quantile,0.5,11045,COVID-19
DE,00+,2022-04-23,2022-03-26,-28 day ahead inc hosp,quantile,0.75,11045,COVID-19
DE,00+,2022-04-23,2022-03-26,-28 day ahead inc hosp,quantile,0.9,11045,COVID-19
DE,00+,2022-04-23,2022-03-26,-28 day ahead inc hosp,quantile,0.975,11045,COVID-19
DE,00+,2022-04-23,2022-03-27,-27 day ahead inc hosp,mean,NA,11046,COVID-19
DE,00+,2022-04-23,2022-03-27,-27 day ahead inc hosp,quantile,0.025,11046,COVID-19
DE,00+,2022-04-23,2022-03-27,-27 day ahead inc hosp,quantile,0.1,11046,COVID-19
DE,00+,2022-04-23,2022-03-27,-27 day ahead inc hosp,quantile,0.25,11046,COVID-19
DE,00+,2022-04-23,2022-03-27,-27 day ahead inc hosp,quantile,0.5,11046,COVID-19
DE,00+,2022-04-23,2022-03-27,-27 day ahead inc hosp,quantile,0.75,11046,COVID-19
DE,00+,2022-04-23,2022-03-27,-27 day ahead inc hosp,quantile,0.9,11046,COVID-19
DE,00+,2022-04-23,2022-03-27,-27 day ahead inc hosp,quantile,0.975,11046,COVID-19
DE,00+,2022-04-23,2022-03-28,-26 day ahead inc hosp,mean,NA,11020,COVID-19
DE,00+,2022-04-23,2022-03-28,-26 day ahead inc hosp,quantile,0.025,11020,COVID-19
DE,00+,2022-04-23,2022-03-28,-26 day ahead inc hosp,quantile,0.1,11020,COVID-19
DE,00+,2022-04-23,2022-03-28,-26 day ahead inc hosp,quantile,0.25,11020,COVID-19
DE,00+,2022-04-23,2022-03-28,-26 day ahead inc hosp,quantile,0.5,11020,COVID-19
DE,00+,2022-04-23,2022-03-28,-26 day ahead inc hosp,quantile,0.75,11020,COVID-19
DE,00+,2022-04-23,2022-03-28,-26 day ahead inc hosp,quantile,0.9,11020,COVID-19
DE,00+,2022-04-23,2022-03-28,-26 day ahead inc hosp,quantile,0.975,11020,COVID-19
DE,00+,2022-04-23,2022-03-29,-25 day ahead inc hosp,mean,NA,10966,COVID-19
DE,00+,2022-04-23,2022-03-29,-25 day ahead inc hosp,quantile,0.025,10966,COVID-19
DE,00+,2022-04-23,2022-03-29,-25 day ahead inc hosp,quantile,0.1,10966,COVID-19
DE,00+,2022-04-23,2022-03-29,-25 day ahead inc hosp,quantile,0.25,10966,COVID-19
DE,00+,2022-04-23,2022-03-29,-25 day ahead inc hosp,quantile,0.5,10966,COVID-19
DE,00+,2022-04-23,2022-03-29,-25 day ahead inc hosp,quantile,0.75,10966,COVID-19
DE,00+,2022-04-23,2022-03-29,-25 day ahead inc hosp,quantile,0.9,10966,COVID-19
DE,00+,2022-04-23,2022-03-29,-25 day ahead inc hosp,quantile,0.975,10966,COVID-19
DE,00+,2022-04-23,2022-03-30,-24 day ahead inc hosp,mean,NA,10805,COVID-19
DE,00+,2022-04-23,2022-03-30,-24 day ahead inc hosp,quantile,0.025,10805,COVID-19
DE,00+,2022-04-23,2022-03-30,-24 day ahead inc hosp,quantile,0.1,10805,COVID-19
DE,00+,2022-04-23,2022-03-30,-24 day ahead inc hosp,quantile,0.25,10805,COVID-19
DE,00+,2022-04-23,2022-03-30,-24 day ahead inc hosp,quantile,0.5,10805,COVID-19
DE,00+,2022-04-23,2022-03-30,-24 day ahead inc hosp,quantile,0.75,10805,COVID-19
DE,00+,2022-04-23,2022-03-30,-24 day ahead inc hosp,quantile,0.9,10805,COVID-19
DE,00+,2022-04-23,2022-03-30,-24 day ahead inc hosp,quantile,0.975,10805,COVID-19
DE,00+,2022-04-23,2022-03-31,-23 day ahead inc hosp,mean,NA,10555,COVID-19
DE,00+,2022-04-23,2022-03-31,-23 day ahead inc hosp,quantile,0.025,10555,COVID-19
DE,00+,2022-04-23,2022-03-31,-23 day ahead inc hosp,quantile,0.1,10555,COVID-19
DE,00+,2022-04-23,2022-03-31,-23 day ahead inc hosp,quantile,0.25,10555,COVID-19
DE,00+,2022-04-23,2022-03-31,-23 day ahead inc hosp,quantile,0.5,10555,COVID-19
DE,00+,2022-04-23,2022-03-31,-23 day ahead inc hosp,quantile,0.75,10555,COVID-19
DE,00+,2022-04-23,2022-03-31,-23 day ahead inc hosp,quantile,0.9,10555,COVID-19
DE,00+,2022-04-23,2022-03-31,-23 day ahead inc hosp,quantile,0.975,10555,COVID-19
DE,00+,2022-04-23,2022-04-01,-22 day ahead inc hosp,mean,NA,10377,COVID-19
